key,value,date
Bach,0,1842
Bach,0,1843
Bach,0,1844
Bach,0,1845
Bach,0,1846
Bach,0,1847
Bach,0,1848
Bach,0,1849
Bach,0,1850
Bach,0,1851
Bach,0,1852
Bach,0,1853
Bach,0,1854
Bach,0,1855
Bach,0,1856
Bach,0,1857
Bach,0,1858
Bach,0,1859
Bach,0,1860
Bach,0,1861
Bach,1,1862
Bach,0,1863
Bach,0,1864
Bach,0,1865
Bach,0,1866
Bach,0,1867
Bach,0,1868
Bach,1,1869
Bach,0,1870
Bach,0,1871
Bach,1,1872
Bach,0,1873
Bach,2,1874
Bach,2,1875
Bach,2,1876
Bach,0,1877
Bach,0,1878
Bach,6,1879
Bach,2,1880
Bach,5,1881
Bach,0,1882
Bach,3,1883
Bach,1,1884
Bach,0,1885
Bach,3,1886
Bach,2,1887
Bach,4,1888
Bach,1,1889
Bach,5,1890
Bach,0,1891
Bach,3,1892
Bach,7,1893
Bach,4,1894
Bach,4,1895
Bach,6,1896
Bach,6,1897
Bach,4,1898
Bach,6,1899
Bach,5,1900
Bach,22,1901
Bach,0,1902
Bach,4,1903
Bach,2,1904
Bach,10,1905
Bach,3,1906
Bach,3,1907
Bach,2,1908
Bach,6,1909
Bach,15,1910
Bach,8,1911
Bach,6,1912
Bach,8,1913
Bach,11,1914
Bach,4,1915
Bach,16,1916
Bach,10,1917
Bach,11,1918
Bach,15,1919
Bach,9,1920
Bach,34,1921
Bach,14,1922
Bach,17,1923
Bach,13,1924
Bach,30,1925
Bach,14,1926
Bach,21,1927
Bach,14,1928
Bach,15,1929
Bach,37,1930
Bach,20,1931
Bach,13,1932
Bach,18,1933
Bach,15,1934
Bach,28,1935
Bach,15,1936
Bach,13,1937
Bach,19,1938
Bach,10,1939
Bach,29,1940
Bach,22,1941
Bach,13,1942
Bach,12,1943
Bach,10,1944
Bach,18,1945
Bach,15,1946
Bach,34,1947
Bach,29,1948
Bach,24,1949
Bach,15,1950
Bach,23,1951
Bach,19,1952
Bach,7,1953
Bach,16,1954
Bach,8,1955
Bach,14,1956
Bach,10,1957
Bach,13,1958
Bach,22,1959
Bach,8,1960
Bach,3,1961
Bach,17,1962
Bach,6,1963
Bach,5,1964
Bach,12,1965
Bach,13,1966
Bach,0,1967
Bach,16,1968
Bach,9,1969
Bach,6,1970
Bach,4,1971
Bach,9,1972
Bach,1,1973
Bach,6,1974
Bach,7,1975
Bach,4,1976
Bach,13,1977
Bach,5,1978
Bach,2,1979
Bach,5,1980
Bach,5,1981
Bach,9,1982
Bach,17,1983
Bach,10,1984
Bach,32,1985
Bach,18,1986
Bach,4,1987
Bach,5,1988
Bach,4,1989
Bach,2,1990
Bach,5,1991
Bach,3,1992
Bach,7,1993
Bach,10,1994
Bach,11,1995
Bach,9,1996
Bach,4,1997
Bach,8,1998
Bach,10,1999
Bach,13,2000
Bach,2,2001
Bach,2,2002
Bach,6,2003
Bach,13,2004
Bach,18,2005
Bach,9,2006
Bach,14,2007
Bach,25,2008
Bach,20,2009
Bach,8,2010
Bach,14,2011
Bach,13,2012
Bach,23,2013
Bach,7,2014
Bach,17,2015
Bach,16,2016
Beethoven,1,1842
Beethoven,4,1843
Beethoven,2,1844
Beethoven,3,1845
Beethoven,3,1846
Beethoven,4,1847
Beethoven,2,1848
Beethoven,2,1849
Beethoven,1,1850
Beethoven,2,1851
Beethoven,3,1852
Beethoven,2,1853
Beethoven,4,1854
Beethoven,4,1855
Beethoven,2,1856
Beethoven,3,1857
Beethoven,2,1858
Beethoven,4,1859
Beethoven,5,1860
Beethoven,4,1861
Beethoven,5,1862
Beethoven,5,1863
Beethoven,3,1864
Beethoven,5,1865
Beethoven,3,1866
Beethoven,4,1867
Beethoven,3,1868
Beethoven,5,1869
Beethoven,6,1870
Beethoven,4,1871
Beethoven,6,1872
Beethoven,3,1873
Beethoven,3,1874
Beethoven,3,1875
Beethoven,6,1876
Beethoven,6,1877
Beethoven,9,1878
Beethoven,16,1879
Beethoven,14,1880
Beethoven,15,1881
Beethoven,13,1882
Beethoven,12,1883
Beethoven,12,1884
Beethoven,11,1885
Beethoven,7,1886
Beethoven,13,1887
Beethoven,9,1888
Beethoven,9,1889
Beethoven,8,1890
Beethoven,9,1891
Beethoven,15,1892
Beethoven,8,1893
Beethoven,12,1894
Beethoven,12,1895
Beethoven,14,1896
Beethoven,11,1897
Beethoven,11,1898
Beethoven,7,1899
Beethoven,11,1900
Beethoven,34,1901
Beethoven,6,1902
Beethoven,8,1903
Beethoven,12,1904
